resume_text,role
"Machine Learning Engineer with 9+ years of experience skilled in Scikit-learn, Python, Deep Learning.",Machine Learning Engineer
"Data Scientist with 10+ years of experience skilled in Machine Learning, Python, TensorFlow.",Data Scientist
"Business Analyst with 7+ years of experience skilled in Power BI, Excel, Requirement Analysis.",Business Analyst
"Software Engineer with 6+ years of experience skilled in Java, Microservices, Docker.",Software Engineer
"Product Manager with 0+ years of experience skilled in Market Research, Roadmapping, Scrum.",Product Manager
"Data Scientist with 9+ years of experience skilled in SQL, Pandas, Machine Learning.",Data Scientist
"Data Scientist with 10+ years of experience skilled in Pandas, Machine Learning, SQL.",Data Scientist
"DevOps Engineer with 10+ years of experience skilled in Docker, AWS, CI/CD.",DevOps Engineer
"Machine Learning Engineer with 2+ years of experience skilled in Scikit-learn, Deep Learning, NLP.",Machine Learning Engineer
"Product Manager with 8+ years of experience skilled in Agile, Market Research, Roadmapping.",Product Manager
"Data Analyst with 10+ years of experience skilled in Tableau, Excel, SQL.",Data Analyst
"Product Manager with 3+ years of experience skilled in Roadmapping, Agile, Scrum.",Product Manager
"DevOps Engineer with 6+ years of experience skilled in CI/CD, Docker, Kubernetes.",DevOps Engineer
"Product Manager with 10+ years of experience skilled in Market Research, Scrum, Roadmapping.",Product Manager
"Software Engineer with 2+ years of experience skilled in Spring Boot, Java, REST APIs.",Software Engineer
"Data Scientist with 6+ years of experience skilled in Python, TensorFlow, SQL.",Data Scientist
"Product Manager with 0+ years of experience skilled in Roadmapping, Agile, Market Research.",Product Manager
"Product Manager with 4+ years of experience skilled in Roadmapping, Market Research, Agile.",Product Manager
"Product Manager with 3+ years of experience skilled in Roadmapping, Agile, Scrum.",Product Manager
"Software Engineer with 10+ years of experience skilled in Spring Boot, Docker, Java.",Software Engineer
"Software Engineer with 0+ years of experience skilled in Microservices, Spring Boot, Java.",Software Engineer
"Web Developer with 4+ years of experience skilled in JavaScript, Node.js, CSS.",Web Developer
"DevOps Engineer with 0+ years of experience skilled in Linux, Docker, Kubernetes.",DevOps Engineer
"Data Scientist with 0+ years of experience skilled in TensorFlow, Machine Learning, Python.",Data Scientist
"Data Scientist with 6+ years of experience skilled in SQL, Python, Machine Learning.",Data Scientist
"Business Analyst with 0+ years of experience skilled in Requirement Analysis, SQL, Power BI.",Business Analyst
"Data Scientist with 8+ years of experience skilled in Machine Learning, TensorFlow, Python.",Data Scientist
"Machine Learning Engineer with 2+ years of experience skilled in Scikit-learn, Deep Learning, NLP.",Machine Learning Engineer
"Web Developer with 4+ years of experience skilled in JavaScript, React, HTML.",Web Developer
"Machine Learning Engineer with 9+ years of experience skilled in Python, NLP, Deep Learning.",Machine Learning Engineer
"Web Developer with 9+ years of experience skilled in CSS, JavaScript, React.",Web Developer
"Product Manager with 4+ years of experience skilled in Scrum, Roadmapping, Market Research.",Product Manager
"Product Manager with 5+ years of experience skilled in Agile, Roadmapping, Market Research.",Product Manager
"Software Engineer with 0+ years of experience skilled in Java, Docker, Spring Boot.",Software Engineer
"Business Analyst with 7+ years of experience skilled in Requirement Analysis, Power BI, SQL.",Business Analyst
"Business Analyst with 3+ years of experience skilled in SQL, Requirement Analysis, Excel.",Business Analyst
"Web Developer with 5+ years of experience skilled in JavaScript, HTML, React.",Web Developer
"Business Analyst with 4+ years of experience skilled in Requirement Analysis, SQL, Excel.",Business Analyst
"Product Manager with 9+ years of experience skilled in Scrum, Market Research, Agile.",Product Manager
"Web Developer with 1+ years of experience skilled in CSS, JavaScript, HTML.",Web Developer
"Data Analyst with 7+ years of experience skilled in Excel, Data Visualization, Tableau.",Data Analyst
"Machine Learning Engineer with 5+ years of experience skilled in Deep Learning, Scikit-learn, NLP.",Machine Learning Engineer
"Product Manager with 1+ years of experience skilled in Market Research, Scrum, Agile.",Product Manager
"Machine Learning Engineer with 9+ years of experience skilled in NLP, Python, Deep Learning.",Machine Learning Engineer
"Software Engineer with 1+ years of experience skilled in REST APIs, Microservices, Java.",Software Engineer
"Data Scientist with 6+ years of experience skilled in Machine Learning, Python, SQL.",Data Scientist
"Software Engineer with 7+ years of experience skilled in Docker, Java, Microservices.",Software Engineer
"Software Engineer with 1+ years of experience skilled in Microservices, Java, REST APIs.",Software Engineer
"Data Analyst with 3+ years of experience skilled in Tableau, SQL, Excel.",Data Analyst
"Data Analyst with 1+ years of experience skilled in Data Visualization, Excel, SQL.",Data Analyst
"Product Manager with 7+ years of experience skilled in Scrum, Roadmapping, Agile.",Product Manager
"Business Analyst with 6+ years of experience skilled in SQL, Requirement Analysis, Excel.",Business Analyst
"Software Engineer with 8+ years of experience skilled in REST APIs, Docker, Microservices.",Software Engineer
"Data Scientist with 5+ years of experience skilled in Python, SQL, Pandas.",Data Scientist
"DevOps Engineer with 0+ years of experience skilled in CI/CD, Docker, Linux.",DevOps Engineer
"Product Manager with 7+ years of experience skilled in Market Research, Scrum, Roadmapping.",Product Manager
"Business Analyst with 4+ years of experience skilled in SQL, Requirement Analysis, Power BI.",Business Analyst
"Data Scientist with 3+ years of experience skilled in Python, SQL, TensorFlow.",Data Scientist
"Data Scientist with 1+ years of experience skilled in SQL, TensorFlow, Machine Learning.",Data Scientist
"Product Manager with 1+ years of experience skilled in Agile, Roadmapping, Scrum.",Product Manager
"Business Analyst with 1+ years of experience skilled in SQL, Excel, Power BI.",Business Analyst
"Web Developer with 5+ years of experience skilled in React, Node.js, HTML.",Web Developer
"Machine Learning Engineer with 4+ years of experience skilled in NLP, Scikit-learn, Deep Learning.",Machine Learning Engineer
"Product Manager with 1+ years of experience skilled in Roadmapping, Market Research, Agile.",Product Manager
"Product Manager with 3+ years of experience skilled in Roadmapping, Agile, Scrum.",Product Manager
"Software Engineer with 10+ years of experience skilled in Microservices, Java, REST APIs.",Software Engineer
"Machine Learning Engineer with 1+ years of experience skilled in Scikit-learn, Python, Deep Learning.",Machine Learning Engineer
"Web Developer with 7+ years of experience skilled in JavaScript, CSS, HTML.",Web Developer
"Machine Learning Engineer with 7+ years of experience skilled in Scikit-learn, NLP, Python.",Machine Learning Engineer
"Product Manager with 2+ years of experience skilled in Agile, Market Research, Roadmapping.",Product Manager
"Web Developer with 9+ years of experience skilled in React, Node.js, CSS.",Web Developer
"Business Analyst with 6+ years of experience skilled in SQL, Excel, Requirement Analysis.",Business Analyst
"Software Engineer with 10+ years of experience skilled in Spring Boot, Docker, Microservices.",Software Engineer
"Business Analyst with 9+ years of experience skilled in SQL, Requirement Analysis, Excel.",Business Analyst
"Web Developer with 9+ years of experience skilled in Node.js, HTML, CSS.",Web Developer
"Data Analyst with 0+ years of experience skilled in Excel, Tableau, SQL.",Data Analyst
"Data Analyst with 5+ years of experience skilled in Excel, Tableau, Data Visualization.",Data Analyst
"Machine Learning Engineer with 8+ years of experience skilled in Python, Scikit-learn, Deep Learning.",Machine Learning Engineer
"Software Engineer with 9+ years of experience skilled in Microservices, Java, REST APIs.",Software Engineer
"Machine Learning Engineer with 3+ years of experience skilled in Scikit-learn, Deep Learning, NLP.",Machine Learning Engineer
"DevOps Engineer with 3+ years of experience skilled in CI/CD, Kubernetes, AWS.",DevOps Engineer
"Data Analyst with 8+ years of experience skilled in Excel, Tableau, Data Visualization.",Data Analyst
"Machine Learning Engineer with 9+ years of experience skilled in NLP, Scikit-learn, Python.",Machine Learning Engineer
"DevOps Engineer with 9+ years of experience skilled in AWS, Linux, Kubernetes.",DevOps Engineer
"Product Manager with 1+ years of experience skilled in Agile, Market Research, Scrum.",Product Manager
"Software Engineer with 9+ years of experience skilled in Spring Boot, Java, REST APIs.",Software Engineer
"Software Engineer with 9+ years of experience skilled in Java, Spring Boot, Docker.",Software Engineer
"Data Analyst with 10+ years of experience skilled in Data Visualization, Excel, SQL.",Data Analyst
"Web Developer with 0+ years of experience skilled in React, CSS, JavaScript.",Web Developer
"Product Manager with 2+ years of experience skilled in Scrum, Roadmapping, Market Research.",Product Manager
"Web Developer with 7+ years of experience skilled in Node.js, HTML, React.",Web Developer
"Software Engineer with 3+ years of experience skilled in Java, REST APIs, Spring Boot.",Software Engineer
"Data Scientist with 4+ years of experience skilled in Python, SQL, TensorFlow.",Data Scientist
"DevOps Engineer with 8+ years of experience skilled in Kubernetes, Docker, AWS.",DevOps Engineer
"Data Scientist with 9+ years of experience skilled in SQL, Pandas, Python.",Data Scientist
"DevOps Engineer with 8+ years of experience skilled in Docker, CI/CD, Linux.",DevOps Engineer
"DevOps Engineer with 9+ years of experience skilled in CI/CD, Kubernetes, AWS.",DevOps Engineer
"Product Manager with 5+ years of experience skilled in Agile, Scrum, Market Research.",Product Manager
"Software Engineer with 1+ years of experience skilled in Java, REST APIs, Microservices.",Software Engineer
"Business Analyst with 10+ years of experience skilled in Excel, Power BI, Requirement Analysis.",Business Analyst
"Data Analyst with 4+ years of experience skilled in SQL, Data Visualization, Excel.",Data Analyst
"Business Analyst with 0+ years of experience skilled in Requirement Analysis, SQL, Power BI.",Business Analyst
"Web Developer with 4+ years of experience skilled in Node.js, JavaScript, React.",Web Developer
"Data Scientist with 7+ years of experience skilled in Machine Learning, SQL, TensorFlow.",Data Scientist
"Product Manager with 0+ years of experience skilled in Roadmapping, Agile, Market Research.",Product Manager
"Data Scientist with 1+ years of experience skilled in Pandas, Python, TensorFlow.",Data Scientist
"Software Engineer with 7+ years of experience skilled in Docker, Spring Boot, Java.",Software Engineer
"Machine Learning Engineer with 1+ years of experience skilled in Python, Scikit-learn, Deep Learning.",Machine Learning Engineer
"Data Scientist with 4+ years of experience skilled in TensorFlow, SQL, Pandas.",Data Scientist
"Business Analyst with 5+ years of experience skilled in Power BI, Excel, SQL.",Business Analyst
"Data Scientist with 3+ years of experience skilled in SQL, Pandas, Python.",Data Scientist
"Data Analyst with 10+ years of experience skilled in SQL, Excel, Tableau.",Data Analyst
"Business Analyst with 5+ years of experience skilled in Power BI, Excel, Requirement Analysis.",Business Analyst
"Business Analyst with 7+ years of experience skilled in Power BI, Excel, SQL.",Business Analyst
"Web Developer with 2+ years of experience skilled in JavaScript, Node.js, HTML.",Web Developer
"Product Manager with 5+ years of experience skilled in Scrum, Agile, Roadmapping.",Product Manager
"DevOps Engineer with 2+ years of experience skilled in Kubernetes, CI/CD, Docker.",DevOps Engineer
"Web Developer with 0+ years of experience skilled in React, Node.js, JavaScript.",Web Developer
"DevOps Engineer with 5+ years of experience skilled in AWS, Kubernetes, Docker.",DevOps Engineer
"Web Developer with 1+ years of experience skilled in Node.js, HTML, React.",Web Developer
"Machine Learning Engineer with 8+ years of experience skilled in NLP, Deep Learning, Scikit-learn.",Machine Learning Engineer
"Business Analyst with 9+ years of experience skilled in Excel, Power BI, Requirement Analysis.",Business Analyst
"DevOps Engineer with 10+ years of experience skilled in CI/CD, Kubernetes, Linux.",DevOps Engineer
"DevOps Engineer with 1+ years of experience skilled in Kubernetes, Linux, CI/CD.",DevOps Engineer
"DevOps Engineer with 10+ years of experience skilled in CI/CD, Linux, AWS.",DevOps Engineer
"Business Analyst with 4+ years of experience skilled in Requirement Analysis, SQL, Excel.",Business Analyst
"Machine Learning Engineer with 2+ years of experience skilled in Deep Learning, Python, NLP.",Machine Learning Engineer
"Web Developer with 5+ years of experience skilled in HTML, JavaScript, Node.js.",Web Developer
"Business Analyst with 7+ years of experience skilled in SQL, Excel, Power BI.",Business Analyst
"Machine Learning Engineer with 3+ years of experience skilled in Scikit-learn, NLP, Python.",Machine Learning Engineer
"Product Manager with 9+ years of experience skilled in Market Research, Scrum, Roadmapping.",Product Manager
"Data Analyst with 9+ years of experience skilled in Data Visualization, Excel, Tableau.",Data Analyst
"Data Scientist with 10+ years of experience skilled in Python, SQL, Machine Learning.",Data Scientist
"Business Analyst with 2+ years of experience skilled in Requirement Analysis, Excel, Power BI.",Business Analyst
"Data Analyst with 7+ years of experience skilled in Data Visualization, SQL, Excel.",Data Analyst
"Product Manager with 4+ years of experience skilled in Market Research, Roadmapping, Scrum.",Product Manager
"DevOps Engineer with 3+ years of experience skilled in Linux, Docker, AWS.",DevOps Engineer
"Business Analyst with 6+ years of experience skilled in SQL, Power BI, Requirement Analysis.",Business Analyst
"Data Analyst with 1+ years of experience skilled in Data Visualization, SQL, Tableau.",Data Analyst
"Software Engineer with 10+ years of experience skilled in REST APIs, Java, Spring Boot.",Software Engineer
"Business Analyst with 4+ years of experience skilled in Excel, Requirement Analysis, SQL.",Business Analyst
"DevOps Engineer with 9+ years of experience skilled in CI/CD, Kubernetes, Docker.",DevOps Engineer
"Data Scientist with 5+ years of experience skilled in TensorFlow, Python, Machine Learning.",Data Scientist
"Data Scientist with 8+ years of experience skilled in Machine Learning, SQL, Python.",Data Scientist
"DevOps Engineer with 5+ years of experience skilled in Linux, AWS, CI/CD.",DevOps Engineer
"DevOps Engineer with 8+ years of experience skilled in CI/CD, Linux, AWS.",DevOps Engineer
"DevOps Engineer with 7+ years of experience skilled in Linux, CI/CD, Kubernetes.",DevOps Engineer
"Web Developer with 2+ years of experience skilled in CSS, HTML, React.",Web Developer
"Product Manager with 7+ years of experience skilled in Roadmapping, Agile, Scrum.",Product Manager
"Web Developer with 10+ years of experience skilled in Node.js, HTML, React.",Web Developer
"Software Engineer with 6+ years of experience skilled in Spring Boot, Java, Microservices.",Software Engineer
"Business Analyst with 8+ years of experience skilled in SQL, Power BI, Requirement Analysis.",Business Analyst
"Data Scientist with 5+ years of experience skilled in Machine Learning, Python, TensorFlow.",Data Scientist
"Data Scientist with 3+ years of experience skilled in Python, Machine Learning, Pandas.",Data Scientist
"DevOps Engineer with 5+ years of experience skilled in CI/CD, Docker, AWS.",DevOps Engineer
"Web Developer with 10+ years of experience skilled in JavaScript, React, CSS.",Web Developer
"Web Developer with 3+ years of experience skilled in Node.js, React, HTML.",Web Developer
"Product Manager with 0+ years of experience skilled in Roadmapping, Market Research, Agile.",Product Manager
"Machine Learning Engineer with 3+ years of experience skilled in NLP, Deep Learning, Scikit-learn.",Machine Learning Engineer
"Product Manager with 2+ years of experience skilled in Market Research, Agile, Roadmapping.",Product Manager
"Data Analyst with 1+ years of experience skilled in SQL, Tableau, Data Visualization.",Data Analyst
"Software Engineer with 8+ years of experience skilled in Java, Docker, Microservices.",Software Engineer
"DevOps Engineer with 2+ years of experience skilled in AWS, Linux, Docker.",DevOps Engineer
"Product Manager with 0+ years of experience skilled in Scrum, Market Research, Agile.",Product Manager
"Product Manager with 7+ years of experience skilled in Agile, Market Research, Roadmapping.",Product Manager
"Machine Learning Engineer with 8+ years of experience skilled in Deep Learning, Python, NLP.",Machine Learning Engineer
"Product Manager with 8+ years of experience skilled in Roadmapping, Agile, Market Research.",Product Manager
"Data Analyst with 1+ years of experience skilled in Data Visualization, SQL, Tableau.",Data Analyst
"Data Scientist with 7+ years of experience skilled in Machine Learning, Python, TensorFlow.",Data Scientist
"Machine Learning Engineer with 8+ years of experience skilled in Python, NLP, Deep Learning.",Machine Learning Engineer
"Business Analyst with 6+ years of experience skilled in Excel, Requirement Analysis, SQL.",Business Analyst
"Machine Learning Engineer with 9+ years of experience skilled in Python, Deep Learning, NLP.",Machine Learning Engineer
"Machine Learning Engineer with 1+ years of experience skilled in Deep Learning, Scikit-learn, Python.",Machine Learning Engineer
"Business Analyst with 4+ years of experience skilled in Power BI, Requirement Analysis, Excel.",Business Analyst
"DevOps Engineer with 10+ years of experience skilled in Linux, Docker, Kubernetes.",DevOps Engineer
"Machine Learning Engineer with 2+ years of experience skilled in Deep Learning, Scikit-learn, NLP.",Machine Learning Engineer
"Software Engineer with 3+ years of experience skilled in Java, REST APIs, Docker.",Software Engineer
"DevOps Engineer with 7+ years of experience skilled in CI/CD, Docker, Linux.",DevOps Engineer
"DevOps Engineer with 1+ years of experience skilled in CI/CD, Docker, AWS.",DevOps Engineer
"Product Manager with 8+ years of experience skilled in Scrum, Roadmapping, Market Research.",Product Manager
"Product Manager with 3+ years of experience skilled in Scrum, Roadmapping, Agile.",Product Manager
"Machine Learning Engineer with 5+ years of experience skilled in Deep Learning, Scikit-learn, NLP.",Machine Learning Engineer
"Product Manager with 8+ years of experience skilled in Roadmapping, Scrum, Agile.",Product Manager
"Product Manager with 8+ years of experience skilled in Scrum, Agile, Roadmapping.",Product Manager
"DevOps Engineer with 2+ years of experience skilled in Docker, CI/CD, Kubernetes.",DevOps Engineer
"Data Scientist with 9+ years of experience skilled in SQL, TensorFlow, Machine Learning.",Data Scientist
"DevOps Engineer with 6+ years of experience skilled in Linux, Kubernetes, AWS.",DevOps Engineer
"Business Analyst with 2+ years of experience skilled in Excel, SQL, Requirement Analysis.",Business Analyst
"Machine Learning Engineer with 6+ years of experience skilled in NLP, Deep Learning, Python.",Machine Learning Engineer
"Data Analyst with 7+ years of experience skilled in Data Visualization, Tableau, Excel.",Data Analyst
"Data Scientist with 2+ years of experience skilled in Pandas, Machine Learning, SQL.",Data Scientist
"Business Analyst with 1+ years of experience skilled in SQL, Requirement Analysis, Power BI.",Business Analyst
"Business Analyst with 2+ years of experience skilled in SQL, Excel, Requirement Analysis.",Business Analyst
"Software Engineer with 7+ years of experience skilled in Spring Boot, REST APIs, Docker.",Software Engineer
"Business Analyst with 10+ years of experience skilled in SQL, Power BI, Excel.",Business Analyst
"Business Analyst with 8+ years of experience skilled in Requirement Analysis, SQL, Excel.",Business Analyst
"DevOps Engineer with 7+ years of experience skilled in Docker, CI/CD, Kubernetes.",DevOps Engineer
"Machine Learning Engineer with 10+ years of experience skilled in Scikit-learn, Deep Learning, Python.",Machine Learning Engineer
"Data Analyst with 3+ years of experience skilled in Excel, SQL, Data Visualization.",Data Analyst
"Machine Learning Engineer with 1+ years of experience skilled in Scikit-learn, Deep Learning, Python.",Machine Learning Engineer
"Data Scientist with 6+ years of experience skilled in Python, Pandas, Machine Learning.",Data Scientist
"Software Engineer with 4+ years of experience skilled in Microservices, Spring Boot, Java.",Software Engineer
"Software Engineer with 0+ years of experience skilled in Microservices, Spring Boot, Java.",Software Engineer
"Machine Learning Engineer with 1+ years of experience skilled in NLP, Python, Scikit-learn.",Machine Learning Engineer
"Business Analyst with 8+ years of experience skilled in SQL, Requirement Analysis, Power BI.",Business Analyst
"DevOps Engineer with 2+ years of experience skilled in Kubernetes, Docker, AWS.",DevOps Engineer
"Machine Learning Engineer with 10+ years of experience skilled in Deep Learning, Scikit-learn, NLP.",Machine Learning Engineer
"Data Scientist with 4+ years of experience skilled in Pandas, Python, TensorFlow.",Data Scientist
"DevOps Engineer with 5+ years of experience skilled in AWS, CI/CD, Docker.",DevOps Engineer
"Data Scientist with 5+ years of experience skilled in Pandas, SQL, Machine Learning.",Data Scientist
"Business Analyst with 8+ years of experience skilled in Power BI, Requirement Analysis, Excel.",Business Analyst
"DevOps Engineer with 8+ years of experience skilled in Kubernetes, Docker, Linux.",DevOps Engineer
"Data Analyst with 10+ years of experience skilled in SQL, Excel, Data Visualization.",Data Analyst
"Business Analyst with 8+ years of experience skilled in Power BI, Excel, Requirement Analysis.",Business Analyst
"Data Analyst with 0+ years of experience skilled in SQL, Data Visualization, Tableau.",Data Analyst
"Product Manager with 2+ years of experience skilled in Roadmapping, Market Research, Scrum.",Product Manager
"DevOps Engineer with 0+ years of experience skilled in Kubernetes, CI/CD, Docker.",DevOps Engineer
"Software Engineer with 5+ years of experience skilled in Spring Boot, Microservices, Docker.",Software Engineer
"Software Engineer with 4+ years of experience skilled in Java, Microservices, REST APIs.",Software Engineer
"Data Scientist with 1+ years of experience skilled in Pandas, Machine Learning, Python.",Data Scientist
"Software Engineer with 10+ years of experience skilled in Microservices, Java, REST APIs.",Software Engineer
"DevOps Engineer with 10+ years of experience skilled in Kubernetes, CI/CD, Docker.",DevOps Engineer
"Data Analyst with 10+ years of experience skilled in SQL, Tableau, Data Visualization.",Data Analyst
"DevOps Engineer with 2+ years of experience skilled in CI/CD, Linux, AWS.",DevOps Engineer
"Machine Learning Engineer with 3+ years of experience skilled in Deep Learning, NLP, Scikit-learn.",Machine Learning Engineer
"Software Engineer with 8+ years of experience skilled in Java, Microservices, Docker.",Software Engineer
"Software Engineer with 4+ years of experience skilled in Spring Boot, Java, Microservices.",Software Engineer
"Data Analyst with 9+ years of experience skilled in Tableau, Excel, Data Visualization.",Data Analyst
"Product Manager with 4+ years of experience skilled in Roadmapping, Scrum, Market Research.",Product Manager
"Machine Learning Engineer with 6+ years of experience skilled in Python, NLP, Deep Learning.",Machine Learning Engineer
"Data Scientist with 7+ years of experience skilled in Pandas, TensorFlow, SQL.",Data Scientist
"Business Analyst with 2+ years of experience skilled in Power BI, Requirement Analysis, Excel.",Business Analyst
"Product Manager with 8+ years of experience skilled in Agile, Roadmapping, Scrum.",Product Manager
"Data Analyst with 6+ years of experience skilled in Data Visualization, Tableau, SQL.",Data Analyst
"Web Developer with 10+ years of experience skilled in Node.js, React, HTML.",Web Developer
"DevOps Engineer with 9+ years of experience skilled in CI/CD, Kubernetes, Docker.",DevOps Engineer
"Machine Learning Engineer with 0+ years of experience skilled in Deep Learning, Python, Scikit-learn.",Machine Learning Engineer
"Product Manager with 4+ years of experience skilled in Agile, Roadmapping, Scrum.",Product Manager
"Data Scientist with 1+ years of experience skilled in Machine Learning, TensorFlow, SQL.",Data Scientist
"Data Scientist with 6+ years of experience skilled in Pandas, SQL, Python.",Data Scientist
"Data Analyst with 10+ years of experience skilled in Data Visualization, Tableau, Excel.",Data Analyst
"Data Scientist with 8+ years of experience skilled in SQL, Python, TensorFlow.",Data Scientist
"Business Analyst with 6+ years of experience skilled in Power BI, SQL, Excel.",Business Analyst
"Business Analyst with 6+ years of experience skilled in Requirement Analysis, SQL, Power BI.",Business Analyst
"Business Analyst with 6+ years of experience skilled in Requirement Analysis, SQL, Excel.",Business Analyst
"DevOps Engineer with 8+ years of experience skilled in Kubernetes, AWS, Docker.",DevOps Engineer
"Machine Learning Engineer with 4+ years of experience skilled in Python, NLP, Scikit-learn.",Machine Learning Engineer
"Product Manager with 1+ years of experience skilled in Scrum, Roadmapping, Agile.",Product Manager
"Product Manager with 0+ years of experience skilled in Agile, Market Research, Roadmapping.",Product Manager
"Data Scientist with 5+ years of experience skilled in Python, SQL, Pandas.",Data Scientist
"DevOps Engineer with 10+ years of experience skilled in Linux, Docker, Kubernetes.",DevOps Engineer
"Business Analyst with 6+ years of experience skilled in Excel, SQL, Power BI.",Business Analyst
"Machine Learning Engineer with 9+ years of experience skilled in Scikit-learn, Deep Learning, NLP.",Machine Learning Engineer
"DevOps Engineer with 5+ years of experience skilled in Kubernetes, CI/CD, AWS.",DevOps Engineer
"Data Analyst with 2+ years of experience skilled in Excel, Data Visualization, SQL.",Data Analyst
"Software Engineer with 6+ years of experience skilled in Java, REST APIs, Microservices.",Software Engineer
"DevOps Engineer with 10+ years of experience skilled in AWS, Docker, Kubernetes.",DevOps Engineer
"Machine Learning Engineer with 0+ years of experience skilled in Python, NLP, Deep Learning.",Machine Learning Engineer
"Business Analyst with 3+ years of experience skilled in SQL, Power BI, Excel.",Business Analyst
"Product Manager with 1+ years of experience skilled in Agile, Roadmapping, Scrum.",Product Manager
"Machine Learning Engineer with 0+ years of experience skilled in NLP, Scikit-learn, Deep Learning.",Machine Learning Engineer
"Software Engineer with 4+ years of experience skilled in Spring Boot, Microservices, REST APIs.",Software Engineer
"Machine Learning Engineer with 6+ years of experience skilled in Scikit-learn, NLP, Python.",Machine Learning Engineer
"Data Analyst with 8+ years of experience skilled in Excel, SQL, Tableau.",Data Analyst
"Machine Learning Engineer with 6+ years of experience skilled in Python, NLP, Scikit-learn.",Machine Learning Engineer
"Software Engineer with 5+ years of experience skilled in REST APIs, Spring Boot, Java.",Software Engineer
"Web Developer with 8+ years of experience skilled in JavaScript, CSS, Node.js.",Web Developer
"Software Engineer with 1+ years of experience skilled in Java, Docker, Spring Boot.",Software Engineer
"DevOps Engineer with 2+ years of experience skilled in AWS, Docker, Linux.",DevOps Engineer
"Product Manager with 5+ years of experience skilled in Market Research, Agile, Roadmapping.",Product Manager
"Product Manager with 10+ years of experience skilled in Agile, Roadmapping, Scrum.",Product Manager
"Web Developer with 3+ years of experience skilled in React, CSS, HTML.",Web Developer
"Web Developer with 3+ years of experience skilled in HTML, React, Node.js.",Web Developer
"DevOps Engineer with 6+ years of experience skilled in AWS, Linux, CI/CD.",DevOps Engineer
"Web Developer with 2+ years of experience skilled in HTML, JavaScript, Node.js.",Web Developer
"Business Analyst with 4+ years of experience skilled in Excel, SQL, Power BI.",Business Analyst
"Business Analyst with 3+ years of experience skilled in Excel, Power BI, Requirement Analysis.",Business Analyst
"Data Scientist with 3+ years of experience skilled in SQL, Machine Learning, Pandas.",Data Scientist
"DevOps Engineer with 7+ years of experience skilled in AWS, Docker, Kubernetes.",DevOps Engineer
"Business Analyst with 2+ years of experience skilled in Requirement Analysis, Excel, Power BI.",Business Analyst
"Business Analyst with 1+ years of experience skilled in SQL, Excel, Power BI.",Business Analyst
"Business Analyst with 6+ years of experience skilled in Requirement Analysis, Power BI, SQL.",Business Analyst
"Web Developer with 2+ years of experience skilled in JavaScript, HTML, React.",Web Developer
"Software Engineer with 1+ years of experience skilled in Docker, REST APIs, Microservices.",Software Engineer
"Machine Learning Engineer with 5+ years of experience skilled in NLP, Deep Learning, Python.",Machine Learning Engineer
"Software Engineer with 7+ years of experience skilled in Microservices, Java, REST APIs.",Software Engineer
"Product Manager with 7+ years of experience skilled in Roadmapping, Scrum, Agile.",Product Manager
"Data Scientist with 8+ years of experience skilled in Python, Pandas, SQL.",Data Scientist
"Web Developer with 3+ years of experience skilled in React, Node.js, CSS.",Web Developer
"DevOps Engineer with 1+ years of experience skilled in AWS, Kubernetes, Docker.",DevOps Engineer
"Machine Learning Engineer with 2+ years of experience skilled in Scikit-learn, Deep Learning, NLP.",Machine Learning Engineer
"Software Engineer with 3+ years of experience skilled in Java, Microservices, Docker.",Software Engineer
"Software Engineer with 4+ years of experience skilled in Docker, Microservices, REST APIs.",Software Engineer
"Data Scientist with 10+ years of experience skilled in Machine Learning, TensorFlow, Python.",Data Scientist
"Product Manager with 9+ years of experience skilled in Scrum, Agile, Market Research.",Product Manager
"Product Manager with 6+ years of experience skilled in Market Research, Scrum, Agile.",Product Manager
"Software Engineer with 6+ years of experience skilled in REST APIs, Docker, Java.",Software Engineer
"Product Manager with 8+ years of experience skilled in Roadmapping, Market Research, Scrum.",Product Manager
"Software Engineer with 5+ years of experience skilled in Spring Boot, Microservices, Java.",Software Engineer
"Data Analyst with 6+ years of experience skilled in Excel, SQL, Data Visualization.",Data Analyst
"Data Scientist with 9+ years of experience skilled in SQL, TensorFlow, Machine Learning.",Data Scientist
"Machine Learning Engineer with 1+ years of experience skilled in Scikit-learn, Deep Learning, Python.",Machine Learning Engineer
"DevOps Engineer with 5+ years of experience skilled in Docker, Kubernetes, AWS.",DevOps Engineer
"Machine Learning Engineer with 4+ years of experience skilled in Python, NLP, Scikit-learn.",Machine Learning Engineer
"Web Developer with 5+ years of experience skilled in HTML, Node.js, CSS.",Web Developer
"Product Manager with 7+ years of experience skilled in Agile, Roadmapping, Market Research.",Product Manager
"Data Analyst with 6+ years of experience skilled in Tableau, SQL, Excel.",Data Analyst
"Business Analyst with 0+ years of experience skilled in Excel, SQL, Power BI.",Business Analyst
"Data Scientist with 1+ years of experience skilled in SQL, Machine Learning, Python.",Data Scientist
"Data Analyst with 2+ years of experience skilled in Tableau, SQL, Excel.",Data Analyst
"Data Analyst with 10+ years of experience skilled in Data Visualization, Excel, SQL.",Data Analyst
"Data Analyst with 4+ years of experience skilled in Data Visualization, SQL, Tableau.",Data Analyst
"Software Engineer with 1+ years of experience skilled in Microservices, Spring Boot, REST APIs.",Software Engineer
"DevOps Engineer with 1+ years of experience skilled in CI/CD, Docker, AWS.",DevOps Engineer
